"occurrenceID"	"LUP"	"altibelt"	"dem"	"geometry"
"e2e1f4d1-74d3-4a09-b0d5-f5f12a15754d"	2	2	391	55.40892|-4.63597
"d2523451-4475-4267-b73c-c07bb76389ff"	6	1	21	55.4544|-4.63043
"0571ecb4-d65e-474a-9436-07f9fa458a11"	6	1	21	55.4544|-4.63043
"e7534c46-c758-47c7-bf81-0d3379357514"	5	1	14	55.42187|-4.66916
"22950e36-ccc0-4444-aaa4-571137cb0f2b"	6	1	21	55.4544|-4.63043
"f35cd417-0f94-4491-9578-5f6abe9e6f7c"	6	1	21	55.4544|-4.63043
"09e47240-4283-4db2-8a07-001b29ba2f31"	2	2	391	55.40892|-4.63597
"a3004eb4-bffb-4f7f-bc34-dd7bb192a106"	2	2	391	55.40892|-4.63597
"7f895bc5-7a0b-4bf7-8fba-962518f2201a"	4	1	17	55.44515|-4.67376
"1361ed7e-1821-4916-8f3c-ad283335c1ae"	4	1	17	55.44515|-4.67376
"bc0e4ff5-c7f0-4cb3-ba46-226855251dc7"	4	1	17	55.44515|-4.67376
"4579773b-6bf9-44ac-8880-f33e91dbd744"	4	1	17	55.44515|-4.67376
"f16d2cbe-ad5f-4bf8-bb45-95ee2b68e326"	4	1	17	55.44515|-4.67376
"45d736a3-d047-4c36-9fa7-944e69c593c5"	4	1	17	55.44515|-4.67376
"f0f36bf7-3818-411e-99b7-407715f2908f"	4	1	17	55.44515|-4.67376
"67739a4e-adbe-450f-a841-de0e8a138c40"	4	1	17	55.44515|-4.67376
"e946bf5f-fc78-484e-b654-06e5c47c4638"	4	1	17	55.44515|-4.67376
"53b495e9-9f7a-4b40-af32-076f3301b92e"	4	1	17	55.44515|-4.67376
"1b016903-7bb7-44bf-9287-4ed8a9d14417"	4	1	17	55.44515|-4.67376
"0968cb2f-12c1-4d95-8c34-137eec9308b0"	6	1	11	55.25107|-4.48456
"833d5271-12c9-4f43-bd36-fb5f3345708b"	2	2	391	55.40892|-4.63597
"a0080385-6dc0-4a3a-bfb3-0e9cce93d3ee"	4	1	17	55.44515|-4.67376
"1e16d705-5de6-4c54-b5fc-6292c250285c"	4	1	17	55.44515|-4.67376
"bfe203ae-ffeb-4dee-bed4-b29629cf636a"	4	1	17	55.44515|-4.67376
